position=<-10351, -10360> velocity=< 1,  1>
position=< 52528,  31539> velocity=<-5, -3>
position=<-31270, -20838> velocity=< 3,  2>
position=< 52486, -10365> velocity=<-5,  1>
position=< 31558,  10589> velocity=<-3, -1>
position=<-52253,  21064> velocity=< 5, -2>
position=<-10354,  42015> velocity=< 1, -4>
position=<-41798,  42013> velocity=< 4, -4>
position=<-52253, -52267> velocity=< 5,  5>
position=< 31550, -41793> velocity=<-3,  4>
position=<-31290,  10591> velocity=< 3, -1>
position=< 31542, -10363> velocity=<-3,  1>
position=< 21117,  52487> velocity=<-2, -5>
position=< 21074, -41796> velocity=<-2,  4>
position=< 10619, -20840> velocity=<-1,  2>
position=< 31562,  52495> velocity=<-3, -5>
position=< 31586, -20844> velocity=<-3,  2>
position=<-20837,  42020> velocity=< 2, -4>
position=< 52486,  10589> velocity=<-5, -1>
position=< 52518, -31313> velocity=<-5,  3>
position=<-31286,  21063> velocity=< 3, -2>
position=< 31536, -41793> velocity=<-3,  4>
position=< 52523, -52268> velocity=<-5,  5>
position=<-20830, -10364> velocity=< 2,  1>
position=< 31568,  10587> velocity=<-3, -1>
position=< 21116, -10369> velocity=<-2,  1>
position=< 31558,  21060> velocity=<-3, -2>
position=< 21074,  42013> velocity=<-2, -4>
position=< 21114,  42015> velocity=<-2, -4>
position=<-52231, -52269> velocity=< 5,  5>
position=<-20819,  21064> velocity=< 2, -2>
position=< 42062, -10365> velocity=<-4,  1>
position=<-31271,  52496> velocity=< 3, -5>
position=< 10598, -41791> velocity=<-1,  4>
position=< 42038, -10361> velocity=<-4,  1>
position=< 42047, -52273> velocity=<-4,  5>
position=<-31290,  10591> velocity=< 3, -1>
position=<-41742,  21066> velocity=< 4, -2>
position=< 31590, -41790> velocity=<-3,  4>
position=<-31314, -10360> velocity=< 3,  1>
position=< 42011,  42011> velocity=<-4, -4>
position=<-10366,  10583> velocity=< 1, -1>
position=<-10349, -20844> velocity=< 1,  2>
position=<-20806, -41790> velocity=< 2,  4>
position=< 42018,  52494> velocity=<-4, -5>
position=<-41746, -52271> velocity=< 4,  5>
position=< 52507,  10590> velocity=<-5, -1>
position=<-20793,  52487> velocity=< 2, -5>
position=< 21106,  21067> velocity=<-2, -2>
position=< 42047,  21063> velocity=<-4, -2>
position=<-20794, -31321> velocity=< 2,  3>
position=< 10611, -20838> velocity=<-1,  2>
position=<-41742, -41793> velocity=< 4,  4>
position=<-41747, -31321> velocity=< 4,  3>
position=<-20838, -10367> velocity=< 2,  1>
position=<-52274, -31314> velocity=< 5,  3>
position=< 52526, -20841> velocity=<-5,  2>
position=< 21066,  42017> velocity=<-2, -4>
position=<-10354, -41789> velocity=< 1,  4>
position=<-10326,  31535> velocity=< 1, -3>
position=< 42062, -20837> velocity=<-4,  2>
position=<-10346,  31539> velocity=< 1, -3>
position=< 21090,  52494> velocity=<-2, -5>
position=<-20829, -41797> velocity=< 2,  4>
position=< 21077,  21068> velocity=<-2, -2>
position=<-20814, -20845> velocity=< 2,  2>
position=< 21103, -10366> velocity=<-2,  1>
position=<-52250, -52266> velocity=< 5,  5>
position=<-10341,  31537> velocity=< 1, -3>
position=< 10603, -20839> velocity=<-1,  2>
position=<-41782, -20839> velocity=< 4,  2>
position=<-52226, -41790> velocity=< 5,  4>
position=< 31586, -41791> velocity=<-3,  4>
position=<-20790,  31543> velocity=< 2, -3>
position=< 31575, -41793> velocity=<-3,  4>
position=< 52490,  42011> velocity=<-5, -4>
position=<-41741,  31535> velocity=< 4, -3>
position=<-10318, -31316> velocity=< 1,  3>
position=< 10585, -10369> velocity=<-1,  1>
position=< 10606,  10591> velocity=<-1, -1>
position=< 52510,  31544> velocity=<-5, -3>
position=<-20846, -20840> velocity=< 2,  2>
position=< 21058,  52490> velocity=<-2, -5>
position=<-10367, -31321> velocity=< 1,  3>
position=<-41774,  21062> velocity=< 4, -2>
position=<-52254,  52492> velocity=< 5, -5>
position=< 10640, -10360> velocity=<-1,  1>
position=<-20846, -20839> velocity=< 2,  2>
position=<-10341, -52272> velocity=< 1,  5>
position=<-10330, -10363> velocity=< 1,  1>
position=<-10353, -41797> velocity=< 1,  4>
position=<-41782,  52494> velocity=< 4, -5>
position=<-41761,  10584> velocity=< 4, -1>
position=< 42018, -10369> velocity=<-4,  1>
position=<-10365,  42014> velocity=< 1, -4>
position=<-10318,  42018> velocity=< 1, -4>
position=<-52242, -31315> velocity=< 5,  3>
position=< 21095, -20838> velocity=<-2,  2>
position=< 21058, -10368> velocity=<-2,  1>
position=<-31282,  10584> velocity=< 3, -1>
position=<-31322, -31321> velocity=< 3,  3>
position=< 21117, -52273> velocity=<-2,  5>
position=< 31543,  52496> velocity=<-3, -5>
position=< 52538,  21066> velocity=<-5, -2>
position=< 10582,  52492> velocity=<-1, -5>
position=<-41777, -52265> velocity=< 4,  5>
position=<-10357, -52264> velocity=< 1,  5>
position=< 42053,  31535> velocity=<-4, -3>
position=< 42028, -20845> velocity=<-4,  2>
position=<-10326, -20845> velocity=< 1,  2>
position=< 10638,  10585> velocity=<-1, -1>
position=< 31591,  42020> velocity=<-3, -4>
position=< 52505, -52273> velocity=<-5,  5>
position=<-10338,  21059> velocity=< 1, -2>
position=<-10341,  42012> velocity=< 1, -4>
position=< 31566,  31544> velocity=<-3, -3>
position=<-52215, -10360> velocity=< 5,  1>
position=< 52526,  21060> velocity=<-5, -2>
position=< 10638,  10589> velocity=<-1, -1>
position=< 42034,  10584> velocity=<-4, -1>
position=< 31553, -52264> velocity=<-3,  5>
position=<-10353, -10360> velocity=< 1,  1>
