82-82,8-83
6-98,6-93
56-77,55-82
51-68,51-61
4-90,3-67
29-30,29-97
42-88,13-87
17-95,33-96
11-56,12-56
16-90,89-94
74-79,78-80
20-82,19-87
4-86,5-85
37-54,37-55
15-92,16-91
48-93,3-92
23-47,7-47
75-77,2-76
35-88,35-87
56-64,65-89
17-80,18-79
28-87,27-88
6-62,61-63
25-85,24-25
10-72,12-72
54-71,44-70
20-96,97-99
19-46,14-47
7-97,3-6
14-78,5-7
98-98,40-98
1-92,1-83
14-52,13-68
40-43,40-82
13-96,95-98
16-18,17-82
69-79,3-70
24-58,23-25
96-96,2-96
5-99,4-97
7-11,12-95
26-28,1-27
4-35,2-7
22-94,21-95
15-18,18-83
66-68,65-66
31-36,36-71
26-37,26-31
55-55,9-56
21-22,21-29
9-98,8-96
7-39,2-38
84-84,55-83
18-41,18-41
18-84,18-87
3-73,4-74
16-61,16-91
44-83,43-45
7-39,38-68
29-46,13-30
43-77,20-78
50-85,61-84
49-74,90-92
59-81,81-81
41-81,81-94
17-80,7-79
43-96,90-95
96-99,1-97
7-89,6-8
73-75,73-76
15-55,14-15
56-88,88-98
7-10,9-94
55-57,57-61
16-85,17-52
41-54,41-53
30-96,30-30
70-87,84-88
83-93,96-99
13-31,13-70
7-26,26-95
34-51,33-75
51-94,13-99
11-95,1-95
6-95,5-7
71-78,21-79
9-80,9-97
32-49,31-50
79-79,1-80
76-87,75-92
2-97,3-96
1-16,16-69
1-97,99-99
29-36,28-36
6-9,4-9
55-61,20-56
16-78,15-81
52-53,52-82
13-71,9-72
65-96,96-97
56-68,55-56
94-99,3-93
96-98,13-49
12-89,88-89
14-93,93-93
4-99,1-4
48-67,44-48
13-50,47-51
3-4,3-90
74-80,76-81
49-70,18-50
6-36,6-39
59-87,58-88
31-78,32-79
90-90,80-91
94-95,56-94
5-5,6-83
37-50,46-47
79-81,80-83
4-93,7-94
90-91,9-90
75-87,44-87
41-93,40-40
3-13,12-51
13-92,5-14
36-80,36-52
13-95,13-14
83-88,22-83
3-68,2-84
47-63,47-64
77-91,39-92
17-99,17-17
3-72,3-4
2-90,3-90
3-90,90-93
50-86,50-87
28-63,28-32
44-94,43-45
39-48,48-53
7-44,7-60
3-87,86-88
39-99,40-98
15-17,16-18
27-94,26-26
35-81,34-36
40-67,39-77
9-35,4-9
33-83,34-47
1-99,10-99
79-85,49-79
10-12,11-21
19-83,19-26
27-84,25-28
4-84,5-85
11-62,61-94
1-94,93-95
22-28,99-99
50-81,81-81
23-82,22-24
18-73,17-72
74-98,34-74
8-10,9-21
27-43,43-44
10-78,9-82
94-96,27-93
73-73,39-73
17-45,17-98
19-34,18-34
2-82,16-24
63-63,5-63
34-94,34-96
99-99,12-99
8-24,9-97
4-61,3-62
1-99,99-99
2-77,1-78
52-81,31-51
7-71,33-72
2-63,15-95
17-86,15-17
54-71,72-72
4-8,9-73
45-76,45-65
32-50,15-33
14-96,15-99
66-88,42-89
13-26,25-49
20-96,95-97
39-63,44-64
47-70,70-70
89-89,14-89
5-94,4-95
9-31,8-80
5-5,4-99
77-79,8-76
3-93,2-94
97-98,14-83
10-97,7-10
28-53,14-53
9-61,8-67
7-25,24-43
37-39,37-38
73-74,73-95
60-60,52-61
33-46,32-45
2-76,2-75
88-88,5-58
58-82,57-59
43-58,57-59
25-89,24-89
1-99,2-98
35-37,3-35
14-96,32-96
65-84,64-65
86-86,86-92
14-96,95-95
99-99,68-98
67-89,68-88
94-95,47-94
7-94,95-95
11-84,17-85
14-41,10-41
12-14,13-90
13-79,79-79
8-94,94-95
13-14,13-73
6-85,7-64
2-98,98-99
6-99,7-98
5-88,4-96
4-98,36-99
4-5,5-90
33-95,53-95
13-89,88-90
80-82,3-81
63-98,63-64
1-98,32-97
64-88,12-87
1-32,6-33
61-79,61-80
2-16,1-95
77-80,3-64
6-36,7-35
12-28,12-13
54-88,53-54
22-32,21-80
97-99,10-98
30-98,30-97
17-21,18-20
44-63,23-43
19-90,18-19
7-73,7-91
25-49,48-48
30-43,31-42
13-52,14-51
50-55,45-54
27-36,27-35
17-17,16-26
11-94,10-63
17-46,47-51
49-83,49-52
18-64,18-22
4-96,4-93
16-17,16-54
52-52,22-38
2-4,5-97
8-19,18-87
62-99,62-86
92-96,41-73
5-80,6-79
81-82,12-81
10-10,11-70
71-72,7-70
49-83,37-50
14-48,48-76
8-98,5-7
21-85,22-86
59-99,58-98
8-98,4-98
30-52,10-85
12-87,13-88
28-65,28-79
25-70,29-97
60-60,6-60
11-13,10-12
18-50,18-80
65-65,52-66
1-94,1-80
33-99,99-99
29-81,19-82
37-97,11-37
60-60,6-59
3-62,3-63
27-96,26-98
2-82,1-83
9-17,27-56
8-65,8-9
72-73,37-72
1-8,2-98
5-98,4-98
21-98,22-98
11-95,10-95
52-98,3-97
1-91,3-92
7-34,7-42
23-58,22-58
3-84,2-83
40-46,46-83
42-54,43-71
86-88,11-87
26-82,26-27
52-68,33-53
24-79,24-64
5-40,5-39
10-89,1-4
5-7,7-10
41-79,41-80
12-66,13-67
82-86,75-83
14-63,63-87
20-64,15-21
2-14,1-91
15-48,8-49
25-92,8-26
12-99,99-99
8-89,7-80
1-3,4-26
15-70,15-24
85-85,35-63
85-86,86-86
3-93,4-92
35-43,43-43
44-72,66-67
65-66,66-67
1-96,80-97
27-57,57-57
26-87,86-97
3-97,98-98
98-99,18-77
24-86,97-98
8-39,39-73
15-74,12-55
17-19,18-94
18-94,94-94
4-34,7-35
3-64,2-2
19-73,18-74
83-94,82-84
3-94,2-95
35-96,14-99
24-25,23-27
81-93,24-81
3-89,39-89
94-95,68-94
98-98,82-99
9-90,4-89
8-77,7-9
22-39,23-39
75-85,11-76
70-80,79-81
72-74,71-73
11-95,11-97
4-95,94-95
11-91,12-38
9-31,32-57
83-90,58-88
11-78,12-78
55-80,64-79
41-48,39-41
87-89,1-88
14-34,35-71
46-48,47-66
12-37,12-12
61-75,75-75
8-47,9-93
37-37,35-37
4-4,1-4
36-93,35-99
7-90,8-89
60-82,60-83
69-74,30-73
37-95,12-94
8-65,74-95
63-66,59-67
16-38,19-35
21-27,26-80
19-71,11-70
97-97,15-98
45-49,44-48
2-2,2-83
54-80,23-81
75-97,74-98
72-83,1-10
3-83,4-4
11-93,92-97
4-95,6-94
62-72,61-63
29-45,10-30
35-35,36-83
3-66,3-64
58-73,36-72
14-36,16-36
26-86,25-27
28-56,57-73
4-94,3-93
82-87,19-73
29-60,14-61
14-35,14-15
9-93,10-94
11-13,20-30
2-79,1-92
10-42,84-99
47-47,47-62
1-94,1-98
35-42,43-89
98-98,43-99
40-98,40-97
90-93,74-89
28-55,55-56
1-7,6-75
2-94,94-94
71-91,71-92
21-98,99-99
70-94,5-40
13-94,30-95
25-93,25-89
79-84,34-46
8-9,9-71
43-70,22-70
11-95,9-11
31-43,13-30
21-54,53-55
36-88,54-89
58-58,27-57
78-96,97-99
15-53,52-54
9-72,4-9
22-30,22-27
5-96,5-95
19-25,19-77
66-90,66-97
90-92,52-91
14-14,15-26
57-62,58-61
20-62,62-62
34-97,34-35
12-92,13-13
91-93,16-92
23-83,82-84
96-98,9-97
75-76,75-82
24-84,23-25
2-29,2-30
22-35,21-86
43-92,66-92
15-88,14-92
32-37,38-67
76-96,76-95
86-88,2-87
7-98,1-6
35-93,35-94
13-96,1-12
24-69,23-70
73-79,2-73
14-89,14-73
34-60,61-75
14-21,15-22
26-86,24-25
30-96,31-93
9-95,94-98
83-85,3-84
16-96,95-97
12-13,13-35
57-66,57-65
18-59,19-60
34-70,91-96
