seeds: 4188359137 37519573 3736161691 172346126 2590035450 66446591 209124047 106578880 1404892542 30069991 3014689843 117426545 2169439765 226325492 1511958436 177344330 1822605035 51025110 382778843 823998526

seed-to-soil map:
1014943420 3864598346 36796924
3481858860 1134944893 176050938
1463359964 377309295 172917932
1909673912 2511534001 114785858
3472030089 1310995831 9828771
188280292 3055921442 55776498
352078282 1410745074 662865138
1436499332 3759669547 26860632
281816159 550227227 70262123
2940933503 180112079 197197216
3314718477 977633281 157311612
3269652387 3354932755 45066090
3138688421 4164003330 130963966
3689427547 3407181792 70304018
2673867052 3901395270 21291616
3881132258 2371714487 139819514
180112079 3751501334 8168213
2471524173 3399998845 7182947
244056790 3826838977 37759369
2330362750 620489350 141161423
1730119344 3786530179 40308798
1770428142 4040990485 122455143
1892883285 4024199858 16790627
3657909798 2340196738 31517749
1365072738 2268770144 71426594
1636277896 3930358410 93841448
1173574466 2626319859 183826748
3871069976 3233532062 10062282
3138130719 4163445628 557702
3759731565 3243594344 111338411
1357401214 3922686886 7671524
2478707120 2073610212 195159932
2695158668 2810146607 245774835
1051740344 3111697940 121834122
2024459770 761650773 215982508
2240442278 1320824602 89920472
4020951772 3477485810 274015524

soil-to-fertilizer map:
3211509025 2411974869 518394
3778955089 2412493263 120143427
1387254723 3589309701 265617279
3899098516 3906385182 120055953
1714049028 3209939839 261248850
3687768172 2393589437 18385432
554325135 488411873 327969675
2579624415 1520719313 60457941
4019154469 1244906486 275812827
65913262 0 488411873
1244906486 2362023384 31566053
2251369843 4026441135 268526161
0 826989738 65913262
3737515035 2233559302 41440054
1975297878 2563998121 276071965
3606812793 2152603923 80955379
3706153604 2532636690 31361431
1327930741 2336176382 25847002
3262441387 2840070086 276664362
1353777743 3176462859 33476980
1007455475 962102883 213088648
3212027419 3538895733 50413968
2519896004 3116734448 59728411
938255592 892903000 69199883
3539105749 3471188689 67707044
2640082356 1581177254 571426669
927647402 816381548 10608190
882294810 1175191531 45352592
1652872002 2274999356 61177026
1276472539 3854926980 51458202

fertilizer-to-water map:
3919934952 4034286493 116558226
3104838986 886102234 15848522
151486725 1109841455 112301087
38656834 2035810690 62773281
1106567462 3087125934 135164894
1010741746 2114463748 17027276
1428501666 0 69192244
1241732356 699332924 186769310
728534624 1829633882 45432965
465497393 318840419 263037231
263787812 69192244 201709581
1750247416 2131491024 226195640
3103410010 1396336613 1428976
1541007057 2541565636 209240359
2557596892 1222142542 146760701
3810606692 4150844719 109328260
1497693910 2098583971 15879777
2027240691 1925694260 110116430
3120687508 1664856712 30800728
2919531038 2357686664 183878972
2271333563 2800862605 286263329
0 660676090 38656834
121820432 2771196312 29666293
773967589 1428082555 236774157
2137357121 1695657440 133976442
2704357593 270901825 47938594
2782613153 952748391 136917885
4200808114 3619712494 94159182
1513573687 1368903243 27433370
3151488236 1875066847 50627413
4036493178 4260172979 34794317
1027769022 581877650 78798440
3202115649 1089666276 20175179
4071287495 3713871676 33593925
1976443056 901950756 50797635
2752296187 1397765589 30316966
101430115 2750805995 20390317
4104881420 3523785800 95926694
