LRLRLRRLRRLRLRRRLRRLRLRRLLLRRRLRRRLLRRLRRRLRRRLRRLRRLRRRLRRLRLRLRRRLRRLRRLLRRRLLRLRRRLRRRLRRLRRRLRRLLRLLRRRLRRLRLRRRLRLRLRRRLLRLRRLLRRRLRRRLRLRRLLRRLRLRRLRRRLRLLRRRLRRRLLRLLRLLRRRLRLRLRLRLRRLRRLRLRRRLLLRLLRRRLRRLLRLRLRRRLLRLRRRLLRRLRRLRLRLRLRRLRRLRRRLRRRLRRLRRLRRRLRLRRRLRLRRRR

FTD = (QRN, JJC)
LMR = (KND, NTK)
XMV = (RGS, CGP)
KSC = (TGM, CPQ)
MTP = (BBX, TVN)
MSR = (GGL, GGL)
LGX = (DTT, PKP)
NLV = (DDK, MCH)
KSF = (DQS, CTM)
BFB = (JQD, CMG)
TGH = (FVM, TNT)
SJG = (XVB, LKD)
XTK = (XHD, JTP)
XVK = (RBH, JGS)
RFS = (FPG, LTD)
QTQ = (QMH, QDB)
LHS = (CRH, RRQ)
RJP = (HSR, TBP)
CKS = (XCC, XCC)
HGP = (VKR, GSB)
GNM = (GSM, KJL)
JRN = (MGQ, VLL)
BBG = (QPL, KKN)
RNV = (DTC, RCP)
PJJ = (CDX, THL)
KNF = (GXG, DCN)
XNL = (QKC, FBF)
QJS = (SSK, GNR)
TNH = (HDQ, KVK)
CXT = (SVL, DQN)
NKV = (RPS, KPG)
NPQ = (TTT, TRL)
TVX = (HQV, MXC)
PCB = (PRX, KCT)
JND = (KKS, DNF)
MKB = (TQC, HCQ)
JXH = (XLF, TVX)
KPG = (CCC, HHJ)
PRN = (RVT, CSS)
TLQ = (KNF, JHM)
SJV = (SGS, TBH)
DLM = (JQH, DKV)
JHS = (JKJ, SVT)
XLG = (HVD, JND)
CPV = (DDS, RGG)
TTP = (PSS, MDJ)
LPC = (QSP, SDT)
BPJ = (GGK, NSN)
FPL = (KKL, LPS)
TNC = (XXB, GQP)
PRQ = (SVN, HDB)
KKN = (LCV, MGD)
QNM = (RLJ, NHT)
GMB = (CHK, VLS)
KFG = (RKJ, DMR)
FML = (HCJ, BDS)
DRJ = (BSF, BDF)
FBB = (DLR, FQN)
VFQ = (THC, MHG)
PFF = (TNT, FVM)
LVV = (VLG, DHP)
CCC = (MSL, KJP)
HMS = (FMQ, KBV)
FND = (TNH, CCL)
GHK = (JFS, TQP)
TRJ = (SSN, KSC)
XKR = (BMX, DLS)
TKQ = (DSB, LFF)
HBX = (HQD, XJF)
RCF = (MVK, BPC)
MFR = (NDL, XBG)
FDF = (HFR, JSB)
DBH = (XLQ, DRJ)
BCP = (XGX, GMR)
CNX = (BFB, XBS)
PTQ = (XNN, BMK)
HJS = (CCL, TNH)
NQH = (HPR, DTN)
RTL = (FVG, SHS)
CDV = (XHD, JTP)
XNN = (KFG, NFQ)
RPS = (CCC, HHJ)
TVN = (SXH, HMK)
CBN = (PKP, DTT)
DCN = (RCF, BQC)
SBD = (XMV, SSF)
THV = (DLC, RHV)
SXG = (LMJ, SBD)
JVK = (VKS, BHS)
XTV = (PSC, HXN)
BJN = (LSJ, NSX)
HQV = (FSR, RNV)
SSK = (JNG, BBG)
FRJ = (CNX, CTF)
VNH = (HJS, FND)
QGT = (VKS, BHS)
VRH = (HJS, FND)
PBD = (PRN, HLR)
DNJ = (SXG, QCF)
PRX = (JBS, JSH)
GCV = (BVC, TXS)
GQP = (DMX, CDS)
MHG = (DNR, BVH)
BSN = (BDS, HCJ)
BKQ = (RQB, RQB)
LRT = (DPT, KSF)
VTL = (XRF, VCB)
DQN = (CSP, XBF)
LXN = (CNC, MDL)
XVQ = (NLJ, SBJ)
VBQ = (MDM, BTC)
HTB = (KGJ, KQK)
